,City,CLoundiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
325,Porangatu,14,BR,2021-04-16,72,-13.4408,-49.1486,22.63,0.77
326,Dunedin,42,NZ,2021-04-16,42,-45.8742,170.5036,14.44,3.58
327,Yar-Sale,50,RU,2021-04-16,94,66.8333,70.8333,-16.81,4.31
328,Bandarbeyla,18,SO,2021-04-16,72,9.4942,50.8122,26.82,2.11
329,Grand Gaube,36,MU,2021-04-16,82,-20.0064,57.6608,26.67,2.68
330,Ulladulla,90,AU,2021-04-16,67,-35.35,150.4667,17.22,2.93
331,Port-Cartier,1,CA,2021-04-16,86,50.0334,-66.8654,-1.11,3.09
332,Leshukonskoye,100,RU,2021-04-16,85,64.8989,45.7622,1.58,3.87
333,Sambava,24,MG,2021-04-16,89,-14.2667,50.1667,23.65,1.71
334,Berlevåg,100,NO,2021-04-16,87,70.8578,29.0864,4.16,15.24
